id,name,sort_name,institution,country,region,research_area_1,research_area_2,keywords,website,website_2,career_stage,roster,notes,source
hess-jaqueline,"Hess, Jaqueline","hess, jaqueline",University of Vienna,AT,Europe,Genetics/Genomics,Evolution,Comparative genomics of Basidiomycetes,https://molecology.univie.ac.at/about-us/jaqueline-hess/,http://soilchip.wixsite.com/soilchip,Junior,faculty,,wrifo-workbook; airtable
hickman-meleah,"Hickman, Meleah","hickman, meleah",Emory Univ,US,North America,Genetics/Genomics,Cell biology,Chromosome; Candida; Saccharomyces,http://www.biology.emory.edu/index.cfm?faculty=407,,Junior,faculty,,wrifo-workbook; airtable
hilbert-zoe,"Hilbert, Zoë","hilbert, zoe",Boston College,US,North America,Genetics/Genomics,Evolution,Experimental evolution; Cryptococcus; Host-fungal interactions,https://www.evolvingfungi.org/,,Junior,faculty,,wrifo-workbook
hodge-kathie,"Hodge, Kathie","hodge, kathie",Cornell University,US,North America,Evolution,Plant Pathology,Systematics,http://www.plantpath.cornell.edu/labs/hodge/,,Intermediate,faculty,,wrifo-workbook; airtable
hodgins-davis-andrea,"Hodgins-Davis, Andrea","hodgins-davis, andrea",Univ Michigan,US,North America,Evolution,Genetics/Genomics,yeast; genomics; evolution; ecology,http://sciencehd.org/,,Postdoc,postdoc,,wrifo-workbook
hogan-deborah,"Hogan, Deborah","hogan, deborah",Dartmouth Univ,US,North America,Medical Mycology,Genetics/Genomics,Fungal-Bacterial interactions; Candida,https://geiselmed.dartmouth.edu/faculty/facultydb/view.php?uid=2817,,Intermediate,faculty,,wrifo-workbook; airtable
holland-leslie,"Holland, Leslie","holland, leslie",University of Wisconsin-Madison,,North America,Evolution,Plant Pathology,Tree Crop Diseases; Fungal Taxonomy,https://scholar.google.com/citations?user=pHxdYdAAAAAJ&hl=en,,Junior,faculty,,wrifo-workbook; airtable
hopkins-anna,"Hopkins, Anna","hopkins, anna",Edith Cowan University,AU,Australia/NZ,Ecology,Plant Pathology,Soil biology; mycorrhizal ecology; mycophagy; invasive pathogens,https://www.ecu.edu.au/schools/science/staff/profiles/lecturers/dr-anna-hopkins,,Junior,faculty,,wrifo-workbook; airtable
horianopoulos-linda,"Horianopoulos, Linda","horianopoulos, linda",University of Wisconsin-Madison,,North America,,,Yeast; metabolism,,,,postdoc,,wrifo-workbook
hoving-jennifer-claire,"Hoving, Jennifer Claire","hoving, jennifer claire",Universtiy of Cape Town,,Africa,Medical Mycology,Immunology,pneumocystis; Emergomyces africanus; C-type lectins,http://www.idm.uct.ac.za/Claire_Hoving,,Intermediate,faculty,,wrifo-workbook; airtable
